experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.6032,0.1539,2.3518,14142.91,92.14,92.2106,92.14,92.1492
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,1.9037,0.2511,74.9014,1.5922,0.002,2.04,15861.14,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,8.3637,60308,161.7766,1.9037,0.2513,83.2583,1.4881,0.002,2.0744,20557.76,10.0,1.0,10.0,1.8182
SVD rank 0005 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,5,False,0.0,136835,71.3007,2.0748,0.5431,83.3188,1.6897,0.0041,2.0759,15604.91,10.0,1.0,10.0,1.8182
SVD rank 0005 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,5,True,8.0743,136835,71.3007,2.0748,0.5432,83.8433,1.5326,0.0041,2.1081,20938.19,10.0,1.0,10.0,1.8182
