experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,4.3712,377.86,92.79,92.7973,92.79,92.784
Tucker rank 072 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",72,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1220243,7.9955,4.3056,0.0358,2.5362,752.62,78.96,86.0308,78.96,80.0923
Tucker rank 072 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",72,True,fine_tuned,4,0.0001,63.6992,True,1,0.5,val_accuracy,1,1,0.159756,95.0,1220243,7.9955,4.3163,0.0358,2.8323,787.46,88.83,88.9076,88.83,88.8222
Tucker rank 082 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",82,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1357803,7.1855,4.6155,0.0408,2.7981,736.55,84.11,87.0617,84.11,84.5181
Tucker rank 082 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",82,True,fine_tuned,4,0.0001,107.4324,True,1,0.5,val_accuracy,2,1,0.110602,96.2891,1357803,7.1855,4.5056,0.0408,3.1062,735.67,89.62,89.8145,89.62,89.6448
Tucker rank 094 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",94,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1537131,6.3472,4.6559,0.0473,3.1851,673.83,87.99,89.1231,87.99,88.1438
Tucker rank 094 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",94,True,fine_tuned,4,0.0001,119.3885,True,1,0.5,val_accuracy,2,1,0.07409,97.5,1537131,6.3472,4.6308,0.0473,3.5528,640.51,90.12,90.1462,90.12,90.1052
Tucker rank 107 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",107,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1748953,5.5784,5.2064,0.0548,3.7837,582.21,89.2,89.9923,89.2,89.3202
Tucker rank 107 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",107,True,fine_tuned,4,0.0001,85.3375,True,1,0.5,val_accuracy,1,1,0.078871,97.7734,1748953,5.5784,5.2193,0.0548,3.6197,563.89,90.49,90.4908,90.49,90.478
Tucker rank 122 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",122,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2016043,4.8394,5.1517,0.0641,3.8535,529.72,90.06,90.4576,90.06,90.1236
Tucker rank 122 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",122,True,fine_tuned,4,0.0001,136.9991,True,1,0.5,val_accuracy,2,1,0.032934,98.9062,2016043,4.8394,5.0247,0.0641,3.9449,566.53,90.59,90.6564,90.59,90.5966
Tucker rank 139 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",139,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2325208,4.1959,5.4008,0.0726,4.1328,531.87,90.99,91.2757,90.99,91.0479
Tucker rank 139 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",139,True,fine_tuned,4,0.0001,92.9751,True,1,0.5,val_accuracy,1,1,0.032531,98.8281,2325208,4.1959,5.3948,0.0726,4.3997,565.75,90.62,90.6904,90.62,90.613
Tucker rank 159 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",159,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2708608,3.602,5.6085,0.0813,4.8294,530.0,91.71,91.8876,91.71,91.7451
Tucker rank 159 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",159,True,fine_tuned,4,0.0001,98.9174,True,1,0.5,val_accuracy,1,1,0.031276,98.9062,2708608,3.602,5.5747,0.0813,4.8197,517.53,91.02,91.0793,91.02,91.0081
Tucker rank 181 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",181,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,3171928,3.0759,5.9782,0.0919,5.3056,478.6,91.9,91.993,91.9,91.9168
Tucker rank 181 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",181,True,fine_tuned,4,0.0001,112.3766,True,1,0.5,val_accuracy,1,1,0.015987,99.4531,3171928,3.0759,5.9733,0.0919,6.1465,477.26,91.17,91.2228,91.17,91.1853
Tucker rank 207 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",207,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,3775648,2.584,6.1806,0.1054,5.939,436.69,92.17,92.2535,92.17,92.1843
Tucker rank 207 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",207,True,fine_tuned,4,0.0001,120.906,True,1,0.5,val_accuracy,1,1,0.012961,99.5312,3775648,2.584,6.1608,0.1054,5.8623,421.52,90.83,90.8798,90.83,90.8364
Tucker rank 236 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",236,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,4520803,2.1581,6.7964,0.1221,6.5805,388.76,92.38,92.448,92.38,92.391
Tucker rank 236 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",236,True,fine_tuned,4,0.0001,134.7527,True,1,0.5,val_accuracy,1,1,0.018505,99.3359,4520803,2.1581,6.8637,0.1221,6.7955,379.08,91.28,91.2683,91.28,91.2665
Tucker rank 269 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",269,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,5339622,1.8272,7.4591,0.1369,7.4021,353.27,92.49,92.5232,92.49,92.4934
Tucker rank 269 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",269,True,fine_tuned,4,0.0001,143.3962,True,1,0.5,val_accuracy,1,1,0.006678,99.7656,5339622,1.8272,7.414,0.1369,7.6679,360.62,91.46,91.489,91.46,91.451
Tucker rank 307 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",307,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,6154342,1.5853,7.9195,0.1443,8.3738,346.08,92.65,92.6864,92.65,92.6537
Tucker rank 307 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",307,True,fine_tuned,4,0.0001,149.8161,True,1,0.5,val_accuracy,1,1,0.022857,99.2188,6154342,1.5853,8.1748,0.1443,8.4218,335.98,90.5,90.6783,90.5,90.5025
Tucker rank 351 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",351,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,7195118,1.356,8.8329,0.1536,9.5167,319.12,92.68,92.7048,92.68,92.6785
Tucker rank 351 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",351,True,fine_tuned,4,0.0001,158.2321,True,1,0.5,val_accuracy,1,1,0.014463,99.5312,7195118,1.356,8.8795,0.1536,9.5766,326.58,91.06,91.098,91.06,91.0648
