experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.5172,0.1539,2.2884,14430.97,92.14,92.2106,92.14,92.1492
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,1.9384,0.2511,74.9014,1.561,0.002,2.1126,15654.31,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,57.4352,60308,161.7766,1.9384,0.2513,83.2583,1.5614,0.002,2.1515,22777.26,30.74,28.944,30.74,27.3325
SVD rank 0010 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,264380,36.903,1.8882,1.0296,83.8047,1.6035,0.0076,2.148,15789.44,10.0,1.0004,10.0,1.8188
SVD rank 0010 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,58.7899,264380,36.903,1.8882,1.0298,84.8149,1.5784,0.0076,2.2538,22244.23,74.25,74.9596,74.25,73.6967
SVD rank 0018 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464276,21.0143,1.9359,1.7921,84.5669,1.588,0.0132,2.2005,16685.4,10.04,11.0004,10.04,1.8985
SVD rank 0018 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,57.9896,464276,21.0143,1.9359,1.7923,86.3394,1.6081,0.0132,2.1342,21062.37,81.49,83.0945,81.49,81.5476
SVD rank 0029 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,False,0.0,738132,13.2177,1.9096,2.8368,85.6118,1.5674,0.0198,2.1295,16435.18,21.09,27.7243,21.09,14.7576
SVD rank 0029 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,True,58.2638,738132,13.2177,1.9096,2.837,88.4292,1.5213,0.0198,2.1677,22521.78,83.7,84.2316,83.7,83.6765
SVD rank 0044 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,False,0.0,1111572,8.7771,1.942,4.2614,87.0361,1.5825,0.0289,2.1682,16101.15,44.48,77.6801,44.48,43.1795
SVD rank 0044 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,True,58.3072,1111572,8.7771,1.942,4.2616,91.2778,1.6034,0.0289,2.1781,21171.49,87.86,87.9018,87.86,87.7975
SVD rank 0068 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,False,0.0,1709076,5.7086,1.8756,6.5407,90.1045,1.5609,0.0434,3.0261,18688.84,80.63,85.2362,80.63,81.2736
