experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,2.1843,12695.58,92.79,92.7973,92.79,92.784
CP_GD rank 016 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",16,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,619386,15.7518,67.344,0.0047,2.3314,14584.68,10.0,1.0,10.0,1.8182
CP_GD rank 016 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",16,True,fine_tuned,4,0.0001,7.8496,True,1,0.5,val_accuracy,4,0,1.245829,55.5859,619386,15.7518,67.336,0.0047,2.412,14689.93,57.06,57.7537,57.06,56.7344
CP_GD rank 018 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",18,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,629472,15.4994,67.8799,0.0051,2.4046,14317.14,10.0,1.0,10.0,1.8182
CP_GD rank 018 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",18,True,fine_tuned,4,0.0001,7.7449,True,1,0.5,val_accuracy,4,0,1.209549,58.0469,629472,15.4994,67.0013,0.0051,2.382,15693.69,58.34,58.9164,58.34,58.2844
CP_GD rank 020 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",20,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,639558,15.255,66.5389,0.0055,2.3115,14418.15,10.0,1.0,10.0,1.8182
CP_GD rank 020 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",20,True,fine_tuned,4,0.0001,7.8563,True,1,0.5,val_accuracy,4,0,1.049795,63.7891,639558,15.255,66.5398,0.0055,2.3897,15304.88,64.36,64.3283,64.36,64.0321
CP_GD rank 024 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",24,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,659657,14.7902,66.7678,0.0064,2.4254,13418.17,10.0,1.0,10.0,1.8182
CP_GD rank 024 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",24,True,fine_tuned,4,0.0001,7.9151,True,1,0.5,val_accuracy,4,0,0.898184,69.6875,659657,14.7902,67.215,0.0064,2.4661,16390.51,70.39,70.4351,70.39,70.2188
CP_GD rank 028 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",28,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,679537,14.3575,68.8898,0.0069,2.4716,12846.16,10.0,1.3863,10.0,1.8403
CP_GD rank 028 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",28,True,fine_tuned,4,0.0001,8.0044,True,1,0.5,val_accuracy,4,0,0.77592,75.2344,679537,14.3575,71.3655,0.0069,2.4121,13949.53,74.07,74.1377,74.07,73.9325
CP_GD rank 032 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",32,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,699417,13.9494,67.6749,0.0075,2.3989,14285.05,10.0,1.0,10.0,1.8182
CP_GD rank 032 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",32,True,fine_tuned,4,0.0001,8.4906,True,1,0.5,val_accuracy,4,0,0.694677,77.5391,699417,13.9494,71.3014,0.0075,2.8875,13572.13,76.07,76.0759,76.07,75.9612
CP_GD rank 036 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",36,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,719297,13.5638,70.372,0.0081,2.4316,12537.42,10.12,7.002,10.12,2.0568
CP_GD rank 036 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",36,True,fine_tuned,4,0.0001,8.2094,True,1,0.5,val_accuracy,4,0,0.613224,79.6875,719297,13.5638,69.0626,0.0081,2.3387,15834.88,78.09,78.0547,78.09,78.0268
CP_GD rank 040 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",40,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,739177,13.199,68.5157,0.0087,2.4151,13773.07,10.04,11.0004,10.04,1.8985
CP_GD rank 040 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",40,True,fine_tuned,4,0.0001,8.0756,True,1,0.5,val_accuracy,4,0,0.515833,83.5938,739177,13.199,68.1671,0.0087,2.5588,14892.16,80.54,80.3932,80.54,80.3404
CP_GD rank 044 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",44,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,759057,12.8534,67.222,0.0093,2.3604,12133.97,10.3,13.303,10.3,2.4094
CP_GD rank 044 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",44,True,fine_tuned,4,0.0001,8.0833,True,1,0.5,val_accuracy,3,1,0.515516,83.7109,759057,12.8534,67.2214,0.0093,2.3987,14420.89,81.51,81.6646,81.51,81.5408
