experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.6692,0.1539,2.3208,14438.69,92.14,92.2106,92.14,92.1492
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,2.2516,0.2511,74.9014,1.6271,0.002,2.1637,15370.24,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,60.5261,60308,161.7766,2.2516,0.2513,83.2583,1.65,0.002,2.2004,21198.89,25.32,17.9386,25.32,20.4013
SVD rank 0010 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,264380,36.903,2.0043,1.0296,83.8047,1.8163,0.0076,2.2747,15010.69,10.0,1.0004,10.0,1.8188
SVD rank 0010 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,61.0167,264380,36.903,2.0043,1.0298,84.8149,1.7023,0.0076,2.2468,20418.96,74.95,76.9307,74.95,74.7844
SVD rank 0018 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464276,21.0143,1.9844,1.7921,84.5669,1.7052,0.0132,2.1984,15190.35,10.04,11.0004,10.04,1.8985
SVD rank 0018 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,61.1505,464276,21.0143,1.9844,1.7923,86.3394,1.8095,0.0132,2.3194,18676.82,81.0,81.6665,81.0,80.8289
SVD rank 0029 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,False,0.0,738587,13.2096,2.0127,2.8386,85.6138,1.6842,0.0203,2.2131,18096.96,21.1,27.7084,21.1,14.7882
SVD rank 0029 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,True,61.1011,738587,13.2096,2.0127,2.8387,88.4331,1.6476,0.0203,2.1288,21648.97,84.28,84.5679,84.28,84.0254
SVD rank 0044 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,False,0.0,1112027,8.7736,1.9627,4.2631,87.0381,1.6377,0.0293,2.2381,14421.68,44.55,77.745,44.55,43.2991
SVD rank 0044 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,True,60.5266,1112027,8.7736,1.9627,4.2633,91.2817,1.6483,0.0293,2.2202,20425.12,85.1,85.6848,85.1,84.8826
