experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.6741,0.1539,2.511,14601.99,92.14,92.2106,92.14,92.1492
SVD rank 0161 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,161,False,0.0,4001627,2.4381,2.0168,15.2861,114.897,1.676,0.0941,3.1361,15731.31,91.03,91.2344,91.03,91.0651
SVD rank 0161 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,161,True,5.6093,4001627,2.4381,2.0168,15.2862,130.3022,1.5667,0.0941,3.0383,17483.65,85.81,87.2817,85.81,85.9709
SVD rank 0247 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,247,False,0.0,6082139,1.6041,2.0353,23.2226,122.8848,1.5588,0.1305,3.1545,13866.39,91.88,91.9771,91.88,91.8953
SVD rank 0247 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,247,True,5.8958,6082139,1.6041,2.0353,23.2228,146.9419,1.6521,0.1305,3.2987,14130.12,85.77,86.8093,85.77,85.8661
SVD rank 0400 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,False,0.0,9212123,1.0591,2.0345,35.1625,135.2031,1.6111,0.1588,3.2872,11743.49,92.14,92.2151,92.14,92.1496
SVD rank 0400 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,True,5.6324,9212123,1.0591,2.0345,35.1627,170.8306,1.6781,0.1588,3.4158,12117.99,84.14,85.6701,84.14,84.0632
Tucker rank 0002 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,24708,394.8691,4.4055,0.1153,82.8936,1.6301,0.0011,2.416,21121.12,10.0,1.0,10.0,1.8182
Tucker rank 0002 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,5.1884,24708,394.8691,4.4055,0.1155,82.9927,1.5007,0.0011,2.3472,22511.15,10.0,1.0,10.0,1.8182
Tucker rank 0010 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,91489,106.6404,4.5613,0.3701,83.1489,1.5398,0.0034,2.3809,19079.99,10.0,1.0001,10.0,1.8183
Tucker rank 0010 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,9.7003,91489,106.6404,4.5613,0.3702,83.5034,1.5318,0.0034,2.3309,20415.18,11.01,3.6135,11.01,3.5418
Tucker rank 0018 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,162137,60.174,5.3953,0.6396,83.4155,1.6181,0.0062,2.525,17792.79,9.72,3.8637,9.72,3.6686
Tucker rank 0018 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,12.9012,162137,60.174,5.3953,0.6397,84.0366,1.5844,0.0062,2.5324,18722.68,14.27,6.3886,14.27,6.7818
Tucker rank 0029 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,False,0.0,272445,35.8106,5.4564,1.0604,83.8394,1.5718,0.0107,2.5014,17935.25,15.08,4.5521,15.08,6.2099
Tucker rank 0029 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,True,15.4072,272445,35.8106,5.4564,1.0605,84.8843,1.5496,0.0107,2.514,19013.1,17.37,37.936,17.37,8.1199
Tucker rank 0044 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,False,0.0,447435,21.8052,5.6192,1.7279,102.9604,1.6853,0.0185,2.4888,15162.56,36.78,77.5865,36.78,33.2833
Tucker rank 0044 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,True,16.3364,447435,21.8052,5.6192,1.7281,104.6724,1.5387,0.0185,2.4457,16276.56,65.49,73.7897,65.49,64.0824
Tucker rank 0068 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,724855,13.4598,6.3908,2.7862,85.5771,1.5811,0.0315,2.3714,15433.72,70.71,83.5351,70.71,72.5519
Tucker rank 0068 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,8.1182,724855,13.4598,6.3908,2.7863,88.3442,1.5417,0.0315,2.3832,16779.12,74.55,79.5279,74.55,73.8572
Tucker rank 0104 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,724855,13.4598,6.451,2.7862,85.5771,1.5538,0.0315,2.4738,16851.15,70.71,83.5351,70.71,72.5519
Tucker rank 0104 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,16.7001,724855,13.4598,6.451,2.7863,88.3442,1.5879,0.0315,2.3778,16522.14,75.0,77.6965,75.0,73.9006
Tucker rank 0161 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,724855,13.4598,6.571,2.7862,85.5771,1.6042,0.0315,2.4061,16196.93,70.71,83.5351,70.71,72.5519
Tucker rank 0161 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,9.868,724855,13.4598,6.571,2.7863,88.3442,1.5837,0.0315,2.4675,16601.59,76.85,79.1951,76.85,76.0542
Tucker rank 0247 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,724855,13.4598,6.4647,2.7862,85.5771,1.6026,0.0315,2.4297,16377.95,70.71,83.5351,70.71,72.5519
Tucker rank 0247 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,10.291,724855,13.4598,6.4647,2.7863,88.3442,1.5821,0.0315,2.3648,16437.32,76.65,82.9413,76.65,77.7686
Tucker rank 0400 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,724855,13.4598,6.486,2.7862,85.5771,1.5739,0.0315,2.4239,16144.18,70.71,83.5351,70.71,72.5519
Tucker rank 0400 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,6.9596,724855,13.4598,6.486,2.7863,88.3442,1.577,0.0315,2.4934,16365.64,74.92,81.8003,74.92,75.1074
TT rank 0002 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,29050,335.8494,2.064,0.1319,99.2173,1.6821,0.0006,5.5814,11829.14,10.0,1.0,10.0,1.8182
TT rank 0002 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,7.4018,29050,335.8494,2.064,0.1324,99.3374,1.704,0.0006,5.4727,11615.97,10.0,1.0,10.0,1.8182
TT rank 0010 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,265100,36.8028,2.0513,1.0323,100.1152,1.6685,0.0006,5.8402,11343.9,10.0,1.0004,10.0,1.8188
TT rank 0010 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,11.185,265100,36.8028,2.0513,1.0329,101.1333,1.6836,0.0006,5.8326,11354.15,10.0,1.0,10.0,1.8182
TT rank 0018 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464996,20.9817,2.0165,1.7949,100.8774,1.7461,0.0006,6.1367,11240.8,10.04,11.0004,10.04,1.8985
TT rank 0018 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,19.549,464996,20.9817,2.0165,1.7954,102.6577,1.689,0.0006,5.7183,11220.18,18.57,7.0752,18.57,9.6708
TT rank 0029 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,False,0.0,739671,13.1902,2.0251,2.8427,101.9258,1.6896,0.0006,5.7724,11266.87,21.1,27.7132,21.1,14.7899
TT rank 0029 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,True,23.5495,739671,13.1902,2.0251,2.8432,104.7544,1.7004,0.0006,5.9562,11202.37,52.28,56.0178,52.28,47.6622
TT rank 0044 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,False,0.0,1113111,8.765,2.0244,4.2673,103.3501,1.6714,0.0006,6.0822,11243.92,44.54,77.745,44.54,43.2848
TT rank 0044 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,True,7.8584,1113111,8.765,2.0244,4.2678,107.603,1.72,0.0006,5.7551,11251.9,42.99,74.0488,42.99,40.1174
TT rank 0068 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,1611031,6.056,2.0983,6.1667,106.2495,1.6878,0.0006,6.0114,11188.0,78.07,84.9114,78.07,79.135
TT rank 0068 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,5.6358,1611031,6.056,2.0983,6.1672,112.9019,1.7767,0.0006,5.903,10752.48,56.84,73.665,56.84,56.365
TT rank 0104 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,1611031,6.056,2.0436,6.1667,106.2495,1.6834,0.0006,5.8417,10982.72,78.07,84.9114,78.07,79.135
TT rank 0104 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,6.9443,1611031,6.056,2.0436,6.1672,113.2769,1.6961,0.0006,5.7951,11148.6,51.69,75.5027,51.69,51.5306
TT rank 0161 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,1611031,6.056,2.0273,6.1667,106.2495,1.69,0.0006,5.734,11172.45,78.07,84.9114,78.07,79.135
TT rank 0161 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,6.1994,1611031,6.056,2.0273,6.1672,112.9019,1.6966,0.0006,5.7978,10984.06,55.84,75.8123,55.84,56.2265
TT rank 0247 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,1611031,6.056,2.0826,6.1667,106.2495,1.7379,0.0006,5.8334,11025.28,78.07,84.9114,78.07,79.135
TT rank 0247 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,6.1942,1611031,6.056,2.0826,6.1672,112.9019,1.7614,0.0006,5.8727,11031.19,66.39,77.233,66.39,67.3279
TT rank 0400 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,1611031,6.056,2.0932,6.1667,106.2495,1.7534,0.0006,5.9034,11228.3,78.07,84.9114,78.07,79.135
TT rank 0400 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,5.7183,1611031,6.056,2.0932,6.1672,112.9019,1.7014,0.0006,5.8048,11078.53,66.71,77.9239,66.71,67.0483
CP rank 0002 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,24516,397.9616,8.1136,0.1146,82.8975,1.5254,0.0011,2.5554,21258.05,10.0,1.0,10.0,1.8182
CP rank 0002 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,5.269,24516,397.9616,8.1136,0.1148,83.0005,1.573,0.0011,2.5885,20858.64,10.0,1.0,10.0,1.8182
CP rank 0011 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,11,False,0.0,92511,105.4623,10.9447,0.374,83.1553,1.54,0.0031,2.5766,18565.51,10.0,1.0,10.0,1.8182
CP rank 0011 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,11,True,5.602,92511,105.4623,10.9447,0.3741,83.5161,1.5587,0.0031,2.5655,19132.89,10.0,1.0,10.0,1.8182
CP rank 0021 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,21,False,0.0,163421,59.7012,12.6124,0.6445,83.4238,1.6161,0.0053,2.6153,16557.13,10.0,1.0001,10.0,1.8183
CP rank 0021 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,21,True,11.0452,163421,59.7012,12.6124,0.6446,84.0532,1.6372,0.0053,2.6165,17042.73,10.13,5.1967,10.13,2.0755
CP rank 0040 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,40,False,0.0,296909,32.86,13.9566,1.1537,83.9297,1.6028,0.0082,2.4969,16118.87,16.72,13.0155,16.72,6.5269
CP rank 0040 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,40,True,6.9714,296909,32.86,13.9566,1.1539,85.0649,1.5486,0.0082,2.5517,17037.41,9.89,1.8823,9.89,2.6002
CP rank 0075 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,465341,20.9662,15.447,1.7962,84.5752,1.6181,0.0118,2.6376,16328.98,38.76,77.4574,38.76,33.9555
CP rank 0075 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,6.8572,465341,20.9662,15.447,1.7964,86.356,1.5759,0.0118,2.8425,16498.97,23.84,50.4496,23.84,20.4134
CP rank 0151 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,465341,20.9662,15.2351,1.7962,84.5752,1.6053,0.0118,2.5912,16335.38,38.45,77.0369,38.45,34.5375
CP rank 0151 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,8.2202,465341,20.9662,15.2351,1.7964,86.356,1.5898,0.0118,2.6172,16223.59,18.95,45.3661,18.95,14.4688
CP rank 0283 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,465341,20.9662,15.4032,1.7962,84.5752,1.5425,0.0118,2.5098,16689.94,33.08,78.2607,33.08,27.5136
CP rank 0283 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,6.5843,465341,20.9662,15.4032,1.7964,86.356,1.6405,0.0118,2.5402,16125.14,19.9,56.8632,19.9,13.576
CP rank 0531 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,465341,20.9662,14.4413,1.7962,84.5752,1.5467,0.0118,2.5225,16377.0,41.75,76.7055,41.75,38.5005
CP rank 0531 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,10.5447,465341,20.9662,14.4413,1.7964,86.356,1.6137,0.0118,2.6686,16406.63,16.56,27.4613,16.56,9.9007
CP rank 0995 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,465341,20.9662,15.3817,1.7962,84.5752,1.5806,0.0118,2.5774,16770.02,37.58,76.3593,37.58,33.5856
CP rank 0995 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,10.7227,465341,20.9662,15.3817,1.7964,86.356,1.5897,0.0118,2.5777,16432.46,25.33,37.062,25.33,15.661
CP rank 2000 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,465341,20.9662,15.2065,1.7962,84.5752,1.5907,0.0118,2.595,16455.57,40.36,75.7067,40.36,36.8508
CP rank 2000 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,6.5183,465341,20.9662,15.2065,1.7964,86.356,1.7156,0.0118,2.5883,15492.99,15.17,42.5406,15.17,8.7324
