experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.6741,0.1539,2.511,14601.99,92.14,92.2106,92.14,92.1492
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,1.8368,0.2511,74.9014,1.5414,0.002,2.0609,15924.38,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,6.2648,60308,161.7766,1.8368,0.2513,83.2583,1.6,0.002,2.2159,16744.14,10.0,1.0,10.0,1.8182
SVD rank 0010 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,264380,36.903,2.0395,1.0296,83.8047,1.5672,0.0076,2.2348,16315.98,10.0,1.0004,10.0,1.8188
SVD rank 0010 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,6.9354,264380,36.903,2.0395,1.0298,84.8149,1.5233,0.0076,2.168,16982.56,10.0,1.0,10.0,1.8182
SVD rank 0018 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464276,21.0143,1.9667,1.7921,84.5669,1.544,0.0132,2.1089,16067.64,10.04,11.0004,10.04,1.8985
SVD rank 0018 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,19.2907,464276,21.0143,1.9667,1.7923,86.3394,1.67,0.0132,2.1571,18228.57,15.59,4.3639,15.59,6.7256
SVD rank 0029 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,False,0.0,738587,13.2096,2.0144,2.8386,85.6138,1.566,0.0203,2.3009,18461.4,21.1,27.7084,21.1,14.7882
SVD rank 0029 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,True,11.1117,738587,13.2096,2.0144,2.8387,88.4331,1.5407,0.0203,2.1622,18764.07,32.88,75.5425,32.88,28.2318
SVD rank 0044 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,False,0.0,1112027,8.7736,2.1347,4.2631,87.0381,1.5467,0.0293,2.17,15589.42,44.55,77.745,44.55,43.2991
SVD rank 0044 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,True,15.6502,1112027,8.7736,2.1347,4.2633,91.2817,1.5119,0.0293,2.1671,18995.82,63.99,73.1846,63.99,61.8993
SVD rank 0068 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,False,0.0,1709531,5.7071,1.9475,6.5424,90.1064,1.5379,0.0438,2.9806,18538.08,80.72,85.2966,80.72,81.3559
SVD rank 0068 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,True,9.9039,1709531,5.7071,1.9475,6.5426,97.2622,1.5092,0.0438,2.9722,19503.88,72.97,80.2902,72.97,73.1281
SVD rank 0104 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,104,False,0.0,2605787,3.7441,2.1323,9.9614,98.5195,1.5636,0.0656,2.8945,17860.18,88.65,89.3225,88.65,88.7512
SVD rank 0104 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,104,True,5.2585,2605787,3.7441,2.1323,9.9615,108.4614,1.573,0.0656,2.908,18601.64,80.63,86.348,80.63,81.4902
