experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,4.3881,373.83,92.79,92.7973,92.79,92.784
Tucker rank 02 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,548976,17.772,3.0339,0.0016,1.2389,1451.72,10.0,1.0,10.0,1.8182
Tucker rank 02 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,True,fine_tuned,4,0.0001,72.2458,True,1,0.5,val_accuracy,4,0,2.159562,16.7969,548976,17.772,3.259,0.0016,1.8091,1179.43,16.49,9.4655,16.49,9.0043
Tucker rank 04 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",4,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,559791,17.4287,3.0575,0.0022,1.221,1357.88,10.0,1.0,10.0,1.8182
Tucker rank 04 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",4,True,fine_tuned,4,0.0001,34.5719,True,1,0.5,val_accuracy,1,1,2.298405,10.5859,559791,17.4287,3.243,0.0022,1.2962,1354.06,10.6,5.0531,10.6,4.0415
Tucker rank 06 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",6,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,571089,17.0839,3.198,0.0027,1.2736,1421.23,10.0,1.0,10.0,1.8182
Tucker rank 06 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",6,True,fine_tuned,4,0.0001,68.5915,True,1,0.5,val_accuracy,3,1,2.277111,13.0859,571089,17.0839,3.2119,0.0027,1.3431,1437.77,12.42,7.8317,12.42,7.8109
Tucker rank 08 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",8,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,582891,16.738,3.4095,0.0033,1.3599,1410.75,10.0,1.0,10.0,1.8182
Tucker rank 08 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",8,True,fine_tuned,4,0.0001,69.3165,True,1,0.5,val_accuracy,4,0,2.090061,22.9297,582891,16.738,3.3554,0.0033,1.4584,1419.71,23.31,22.5733,23.31,21.1978
Tucker rank 10 | no_ft,Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",10,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,595197,16.3919,3.3911,0.0039,1.3804,1390.57,10.01,6.0002,10.01,1.8385
Tucker rank 10 | ft [fine_tuned],Tucker,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",10,True,fine_tuned,4,0.0001,72.7343,True,1,0.5,val_accuracy,4,0,1.791597,34.2578,595197,16.3919,3.4079,0.0039,1.4559,1366.8,34.5,33.6919,34.5,32.3306
