experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9802596,1.0,0.0,37.415,128.5977,1.5726,0.1539,2.2665,14222.04,70.8,70.9997,70.8,70.7966
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60578,161.8178,1.9946,0.2522,74.9458,1.581,0.002,2.1262,15434.82,1.0,0.01,1.0,0.0198
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,18.1766,60578,161.8178,1.9946,0.2523,83.3032,1.5125,0.002,2.1804,23881.58,2.71,0.1784,2.71,0.3325
SVD rank 0005 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,5,False,0.0,137375,71.3565,2.1155,0.5451,83.3643,1.5181,0.0041,2.1883,16031.14,1.0,0.01,1.0,0.0198
SVD rank 0005 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,5,True,18.0355,137375,71.3565,2.1155,0.5453,83.8901,1.4548,0.0041,2.1213,23963.08,6.23,2.909,6.23,3.2776
SVD rank 0007 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,7,False,0.0,188573,51.983,1.9112,0.7404,83.5596,1.5381,0.0055,2.1466,16332.91,1.0,0.01,1.0,0.0198
SVD rank 0007 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,7,True,17.9816,188573,51.983,1.9112,0.7406,84.2808,1.4898,0.0055,2.1201,23726.95,10.3,7.2125,10.3,6.5902
SVD rank 0010 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,265370,36.9394,1.9204,1.0334,83.8521,1.6456,0.0076,2.1796,15687.65,1.0,0.01,1.0,0.0198
SVD rank 0010 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,18.0156,265370,36.9394,1.9204,1.0335,84.8657,1.5655,0.0076,2.1201,22705.13,12.7,10.8847,12.7,9.1202
SVD rank 0012 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,12,False,0.0,316568,30.9652,1.8872,1.2287,84.0474,1.5267,0.009,2.1649,15336.0,1.16,0.0218,1.16,0.0426
SVD rank 0012 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,12,True,18.3319,316568,30.9652,1.8872,1.2289,85.2563,1.5174,0.009,2.1536,22090.9,16.88,19.3821,16.88,14.5661
