experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,2.2296,10951.54,92.79,92.7973,92.79,92.784
CP rank 002 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,548784,17.7783,2.1265,0.0016,2.3726,8956.0,10.0,1.0,10.0,1.8182
CP rank 002 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,True,fine_tuned,4,0.0001,11.922,True,1,0.5,val_accuracy,2,1,2.303462,9.3359,548784,17.7783,1.4887,0.0016,2.4075,9044.49,9.97,1.6605,9.97,1.9285
CP rank 004 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",4,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,558797,17.4597,1.6154,0.0019,2.599,8323.72,10.0,1.0,10.0,1.8182
CP rank 004 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",4,True,fine_tuned,4,0.0001,7.3644,True,1,0.5,val_accuracy,1,1,2.303674,9.8828,558797,17.4597,1.7128,0.0019,2.3965,7562.64,10.96,10.1366,10.96,3.6018
CP rank 006 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",6,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,568737,17.1545,1.7156,0.0022,2.4621,8696.98,10.0,1.0,10.0,1.8182
CP rank 006 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",6,True,fine_tuned,4,0.0001,15.7701,True,1,0.5,val_accuracy,4,0,1.978806,24.2969,568737,17.1545,1.7128,0.0022,2.4138,7113.27,25.29,25.0658,25.29,23.6234
CP rank 008 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",8,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,578677,16.8599,1.8439,0.0025,2.4663,9279.19,10.0,1.0,10.0,1.8182
CP rank 008 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",8,True,fine_tuned,4,0.0001,15.8357,True,1,0.5,val_accuracy,4,0,1.948811,24.5312,578677,16.8599,1.8507,0.0025,3.6571,8005.87,24.9,23.04,24.9,21.4751
CP rank 010 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",10,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,588617,16.5752,2.036,0.0028,2.5674,8145.94,10.0,1.0,10.0,1.8182
CP rank 010 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",10,True,fine_tuned,4,0.0001,17.2662,True,1,0.5,val_accuracy,4,0,1.828109,31.1328,588617,16.5752,2.0207,0.0028,2.405,9179.75,32.33,32.8024,32.33,30.0575
CP rank 012 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",12,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,598557,16.2999,1.9589,0.0031,2.5265,8909.74,10.0,1.0,10.0,1.8182
CP rank 012 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",12,True,fine_tuned,4,0.0001,16.5242,True,1,0.5,val_accuracy,4,0,1.771707,35.1172,598557,16.2999,2.058,0.0031,2.5392,9652.91,35.33,34.7634,35.33,34.5
CP rank 014 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",14,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,608497,16.0336,2.1369,0.0034,2.4522,8994.82,10.0,1.0,10.0,1.8182
CP rank 014 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",14,True,fine_tuned,4,0.0001,16.1942,True,1,0.5,val_accuracy,4,0,1.728596,37.8125,608497,16.0336,2.4141,0.0034,2.555,8685.43,37.42,36.3257,37.42,36.3736
CP rank 016 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",16,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,618437,15.7759,2.146,0.0037,2.6004,8328.38,10.0,1.0,10.0,1.8182
CP rank 016 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",16,True,fine_tuned,4,0.0001,16.0298,True,1,0.5,val_accuracy,4,0,1.652248,40.4297,618437,15.7759,2.4852,0.0037,2.4505,9172.72,40.79,40.5312,40.79,40.2286
CP rank 018 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",18,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,628377,15.5264,2.2661,0.004,2.5683,6446.7,10.0,1.0,10.0,1.8182
CP rank 018 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",18,True,fine_tuned,4,0.0001,16.2141,True,1,0.5,val_accuracy,4,0,1.865469,31.0938,628377,15.5264,2.2595,0.004,2.442,9265.99,33.17,36.6164,33.17,33.0526
CP rank 020 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",20,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,638317,15.2846,2.5226,0.0043,3.341,8977.17,10.0,1.0,10.0,1.8182
CP rank 020 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",20,True,fine_tuned,4,0.0001,16.168,True,1,0.5,val_accuracy,4,0,1.427653,50.4688,638317,15.2846,2.215,0.0043,2.4136,7125.88,49.38,49.6289,49.38,49.0884
CP rank 024 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",24,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,658197,14.823,2.4406,0.0049,2.5576,8262.06,10.0,1.0,10.0,1.8182
CP rank 024 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",24,True,fine_tuned,4,0.0001,17.3142,True,1,0.5,val_accuracy,4,0,1.402697,50.0391,658197,14.823,2.3888,0.0049,4.1169,8467.64,50.06,50.9967,50.06,49.7663
CP rank 028 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",28,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,678077,14.3884,2.4103,0.0054,2.3479,7749.62,10.0,1.0,10.0,1.8182
CP rank 028 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",28,True,fine_tuned,4,0.0001,17.0689,True,1,0.5,val_accuracy,4,0,1.132444,60.7031,678077,14.3884,2.5917,0.0054,2.499,9299.09,59.56,59.7972,59.56,59.359
CP rank 032 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",32,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,697957,13.9785,2.4595,0.006,2.4962,7347.03,11.47,4.0984,11.47,4.0142
CP rank 032 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",32,True,fine_tuned,4,0.0001,16.2003,True,1,0.5,val_accuracy,4,0,1.148069,60.625,697957,13.9785,2.6323,0.006,2.4204,9128.54,59.55,60.4981,59.55,59.2792
CP rank 036 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",36,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,717837,13.5914,2.7899,0.0066,3.1086,7925.89,10.75,3.8154,10.75,3.2062
CP rank 036 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",36,True,fine_tuned,4,0.0001,16.4848,True,1,0.5,val_accuracy,4,0,1.146791,61.3281,717837,13.5914,2.5367,0.0066,2.3665,7626.82,60.54,62.5393,60.54,60.7391
