experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.6039,0.1539,2.5355,14253.03,92.14,92.2106,92.14,92.1492
SVD rank 0006,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,6,False,0.0,162344,60.0972,1.794,0.6404,75.2905,1.5604,0.0048,2.1259,15667.6,10.0,1.0,10.0,1.8182
SVD rank 0012,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,12,False,0.0,314354,31.0364,1.7611,1.2202,75.8701,1.5199,0.009,2.1429,14968.88,10.0,1.0,10.0,1.8182
SVD rank 0018,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464276,21.0143,1.8509,1.7921,76.4419,1.482,0.0132,2.1352,17113.74,10.04,11.0004,10.04,1.8985
SVD rank 0024,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,24,False,0.0,613652,15.899,1.8502,2.362,77.0117,1.4934,0.0168,2.1207,17456.68,12.7,27.9694,12.7,5.8273
SVD rank 0029,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,False,0.0,738132,13.2177,1.844,2.8368,77.4868,1.5807,0.0198,2.2087,17718.02,21.09,27.7243,21.09,14.7576
SVD rank 0035,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,35,False,0.0,887508,10.9931,1.8557,3.4066,78.0566,1.4982,0.0234,2.1988,18158.58,25.61,66.4906,25.61,18.7575
SVD rank 0041,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,41,False,0.0,1036884,9.4094,1.8027,3.9765,78.6265,1.5126,0.0271,2.1656,17034.88,38.26,77.458,38.26,35.4736
SVD rank 0047,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,47,False,0.0,1186260,8.2245,1.9139,4.5463,79.1963,1.5318,0.0307,2.7799,19875.86,48.93,78.7197,48.93,48.5513
SVD rank 0053,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,53,False,0.0,1335636,7.3047,1.796,5.1161,79.7661,1.5139,0.0343,2.8576,20603.3,61.09,79.7808,61.09,62.361
SVD rank 0059,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,59,False,0.0,1485012,6.5699,1.7997,5.6859,80.3359,1.5114,0.0379,3.0284,19736.36,72.11,83.1037,72.11,73.3943
SVD rank 0065,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,65,False,0.0,1634388,5.9695,1.8309,6.2558,80.9058,1.5027,0.0416,2.7583,19554.1,78.8,85.2695,78.8,79.8069
SVD rank 0071,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,71,False,0.0,1783764,5.4696,1.8339,6.8256,81.4756,1.4783,0.0452,3.0034,18943.07,82.05,86.1693,82.05,82.6697
SVD rank 0076,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,76,False,0.0,1908244,5.1128,1.7938,7.3004,81.9502,1.5672,0.0482,2.9319,18334.66,84.7,87.2501,84.7,85.0561
SVD rank 0082,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,82,False,0.0,2057620,4.7416,1.7875,7.8703,82.52,1.4979,0.0518,2.8836,19708.13,85.61,87.6262,85.61,85.8608
SVD rank 0088,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,88,False,0.0,2206996,4.4207,1.8204,8.4401,83.2832,1.4724,0.0555,2.9936,18180.64,86.96,88.188,86.96,87.1205
SVD rank 0094,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,94,False,0.0,2356372,4.1404,1.8734,9.0099,85.8662,1.5138,0.0591,2.7813,18887.1,87.55,88.6582,87.55,87.7076
SVD rank 0100,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,100,False,0.0,2505748,3.8936,1.7695,9.5797,88.9492,1.5109,0.0627,2.9006,18762.61,88.32,89.1386,88.32,88.452
SVD rank 0106,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,106,False,0.0,2653716,3.6765,1.824,10.1442,90.1865,1.5942,0.066,2.9912,17850.57,88.69,89.3401,88.69,88.785
SVD rank 0112,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,112,False,0.0,2798868,3.4858,1.8015,10.6979,90.7402,1.4768,0.0685,3.1494,17759.43,89.6,90.0421,89.6,89.6715
SVD rank 0118,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,118,False,0.0,2944020,3.314,1.7888,11.2516,91.2939,1.4666,0.0711,3.0135,17718.23,89.92,90.2663,89.92,89.9707
SVD rank 0124,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,124,False,0.0,3089172,3.1583,1.8963,11.8053,91.8477,1.4573,0.0736,3.0918,18426.23,90.09,90.4795,90.09,90.1625
