experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.6339,0.1539,2.2609,14223.96,92.14,92.2106,92.14,92.1492
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,1.951,0.2511,74.9014,1.6076,0.002,2.2304,15385.69,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,56.82,60308,161.7766,1.951,0.2513,83.2583,1.5255,0.002,2.1412,22437.02,22.75,15.7602,22.75,16.2671
SVD rank 0010 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,264380,36.903,2.0142,1.0296,83.8047,1.6527,0.0076,2.1739,15300.84,10.0,1.0004,10.0,1.8188
SVD rank 0010 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,56.8717,264380,36.903,2.0142,1.0298,84.8149,1.554,0.0076,2.1476,22296.84,75.93,76.8741,75.93,75.7624
SVD rank 0018 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464276,21.0143,1.9645,1.7921,84.5669,1.5795,0.0132,2.1565,17328.96,10.04,11.0004,10.04,1.8985
SVD rank 0018 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,57.7454,464276,21.0143,1.9645,1.7923,86.3394,1.5962,0.0132,2.2045,20608.5,81.42,82.1361,81.42,81.491
SVD rank 0029 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,False,0.0,738587,13.2096,2.0106,2.8386,85.6138,1.6269,0.0203,2.225,17983.76,21.1,27.7084,21.1,14.7882
SVD rank 0029 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,True,59.6247,738587,13.2096,2.0106,2.8387,88.4331,1.6396,0.0203,2.1536,21352.44,84.98,85.3655,84.98,84.9023
SVD rank 0044 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,False,0.0,1112027,8.7736,1.9366,4.2631,87.0381,1.6,0.0293,2.1346,15826.51,44.55,77.745,44.55,43.2991
SVD rank 0044 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,True,58.5753,1112027,8.7736,1.9366,4.2633,91.2817,1.6337,0.0293,2.2147,20018.41,86.52,86.5374,86.52,86.4514
SVD rank 0068 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,False,0.0,1709531,5.7071,1.9916,6.5424,90.1064,1.5997,0.0438,2.7088,17793.03,80.72,85.2966,80.72,81.3559
SVD rank 0068 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,True,59.1063,1709531,5.7071,1.9916,6.5426,96.6294,1.6752,0.0438,2.0197,19932.17,88.62,88.7226,88.62,88.5774
SVD rank 0104 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,104,False,0.0,2605787,3.7441,2.007,9.9614,98.5195,1.6222,0.0656,3.0526,17081.41,88.65,89.3225,88.65,88.7512
SVD rank 0104 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,104,True,59.5967,2605787,3.7441,2.007,9.9615,108.4614,1.6406,0.0656,2.066,18926.64,89.79,89.9429,89.79,89.8159
SVD rank 0161 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,161,False,0.0,4001627,2.4381,2.0042,15.2861,114.897,1.71,0.0941,3.2181,15564.94,91.03,91.2344,91.03,91.0651
SVD rank 0161 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,161,True,49.1561,4001627,2.4381,2.0042,15.2862,130.5786,1.6509,0.0941,2.2316,17031.39,89.62,89.8092,89.62,89.6631
SVD rank 0247 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,247,False,0.0,6082139,1.6041,2.0048,23.2226,122.8848,1.6231,0.1305,3.1957,13652.83,91.88,91.9771,91.88,91.8953
SVD rank 0247 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,247,True,55.1439,6082139,1.6041,2.0048,23.2228,147.7524,1.6634,0.1305,2.381,13905.71,89.6,89.6161,89.6,89.5699
SVD rank 0400 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,False,0.0,9212123,1.0591,2.0975,35.1625,135.2031,1.6644,0.1588,3.4203,11224.06,92.14,92.2151,92.14,92.1496
SVD rank 0400 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,True,61.5717,9212123,1.0591,2.0975,35.1627,172.8149,1.6554,0.1588,2.7511,11532.19,89.59,89.7073,89.59,89.5956
Tucker rank 0002 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,24708,394.8691,4.3541,0.1153,82.8936,1.5776,0.0011,2.3041,20339.58,10.0,1.0,10.0,1.8182
Tucker rank 0002 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,58.1482,24708,394.8691,4.3541,0.1155,82.9927,1.5732,0.0011,2.3141,23242.57,23.27,21.7,23.27,18.0127
Tucker rank 0010 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,91489,106.6404,4.6765,0.3701,83.1489,1.5943,0.0034,2.5406,19130.47,10.0,1.0001,10.0,1.8183
Tucker rank 0010 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,58.9976,91489,106.6404,4.6765,0.3702,83.5034,1.5668,0.0034,2.2601,23204.1,70.55,71.4182,70.55,70.2842
Tucker rank 0018 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,162137,60.174,5.3447,0.6396,83.4155,1.6075,0.0062,2.6764,17661.23,9.72,3.8637,9.72,3.6686
Tucker rank 0018 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,58.6726,162137,60.174,5.3447,0.6397,84.0366,1.6373,0.0062,2.4794,20758.27,79.86,79.9996,79.86,79.5905
Tucker rank 0029 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,False,0.0,272445,35.8106,5.5025,1.0604,83.8394,1.6566,0.0107,2.861,17473.98,15.08,4.5521,15.08,6.2099
Tucker rank 0029 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,29,True,58.72,272445,35.8106,5.5025,1.0605,84.8843,1.5729,0.0107,2.3885,21120.58,83.19,83.9267,83.19,82.8395
Tucker rank 0044 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,False,0.0,447435,21.8052,5.6491,1.7279,102.9604,1.6173,0.0185,2.3311,15261.93,36.78,77.5865,36.78,33.2833
Tucker rank 0044 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,44,True,59.0469,447435,21.8052,5.6491,1.7281,104.6724,1.6147,0.0185,2.489,19874.57,85.67,86.0013,85.67,85.7147
Tucker rank 0068 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,False,0.0,783319,12.4552,6.5026,3.0092,85.8027,1.6176,0.0334,2.3169,15690.0,75.19,84.4803,75.19,76.5016
Tucker rank 0068 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,True,60.7527,783319,12.4552,6.5026,3.0094,88.7954,1.6172,0.0334,2.4121,19341.84,88.07,88.2991,88.07,88.0483
Tucker rank 0104 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,104,False,0.0,1387255,7.0329,7.625,5.313,101.4824,1.6916,0.0527,2.3296,14428.93,87.85,89.034,87.85,88.0222
Tucker rank 0104 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,104,True,59.0436,1387255,7.0329,7.625,5.3132,106.7778,1.5924,0.0527,2.4185,19278.48,89.87,90.1051,89.87,89.8687
Tucker rank 0161 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,161,False,0.0,2554468,3.8194,9.2893,9.7656,116.8232,1.6359,0.0821,2.3423,15066.65,90.88,91.1334,90.88,90.9285
Tucker rank 0161 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,161,True,52.0209,2554468,3.8194,9.2893,9.7658,126.5708,1.6705,0.0821,2.4099,16934.23,89.75,89.9827,89.75,89.7865
Tucker rank 0247 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,247,False,0.0,4804916,2.0305,11.6431,18.3504,126.3184,1.6792,0.1288,2.8258,13024.38,91.87,91.9889,91.87,91.8906
Tucker rank 0247 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,247,True,64.112,4804916,2.0305,11.6431,18.3505,145.0366,1.7339,0.1288,2.3933,13551.84,89.79,89.8764,89.79,89.7564
Tucker rank 0400 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,False,0.0,8772215,1.1122,15.4349,33.4844,142.4141,1.6518,0.1652,3.2598,10886.5,92.21,92.2927,92.21,92.2217
Tucker rank 0400 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,True,86.8802,8772215,1.1122,15.4349,33.4846,176.2612,1.6699,0.1652,2.3841,11078.55,89.91,90.2014,89.91,89.9492
TT rank 0002 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,29050,335.8494,1.948,0.1319,99.2173,1.72,0.0006,5.7706,11480.63,10.0,1.0,10.0,1.8182
TT rank 0002 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,71.3724,29050,335.8494,1.948,0.1324,99.3374,1.7452,0.0006,4.8777,11435.51,28.74,25.6043,28.74,24.8393
TT rank 0010 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,265100,36.8028,2.005,1.0323,100.1152,1.6824,0.0006,5.6388,11310.43,10.0,1.0004,10.0,1.8188
TT rank 0010 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,74.2387,265100,36.8028,2.005,1.0329,101.1333,1.7477,0.0006,5.057,11314.25,76.59,76.9646,76.59,76.4132
TT rank 0018 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464996,20.9817,1.976,1.7949,100.8774,1.6552,0.0006,5.7733,11037.03,10.04,11.0004,10.04,1.8985
TT rank 0018 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,75.2697,464996,20.9817,1.976,1.7954,102.6577,1.7074,0.0006,5.0955,11062.36,82.99,83.0796,82.99,82.8238
