experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.5659,0.1539,2.4337,14357.88,92.14,92.2106,92.14,92.1492
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,2.0032,0.2511,74.9014,1.5798,0.002,2.1091,16172.61,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,18.3906,60308,161.7766,2.0032,0.2513,83.2583,1.506,0.002,2.0514,23927.84,19.51,14.3178,19.51,13.1394
SVD rank 0005 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,5,False,0.0,136835,71.3007,1.8988,0.5431,83.3188,1.5352,0.0041,2.1054,16434.0,10.0,1.0,10.0,1.8182
SVD rank 0005 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,5,True,18.4602,136835,71.3007,1.8988,0.5432,83.8433,1.5208,0.0041,2.1432,23254.13,44.09,43.6945,44.09,42.2264
SVD rank 0007 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,7,False,0.0,187853,51.9365,1.9309,0.7377,83.5132,1.5954,0.0055,2.1018,16053.17,10.0,1.0,10.0,1.8182
SVD rank 0007 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,7,True,18.6291,187853,51.9365,1.9309,0.7378,84.2319,1.5103,0.0055,2.1351,23360.68,58.48,59.477,58.48,57.7521
SVD rank 0010 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,264380,36.903,1.9358,1.0296,83.8047,1.5803,0.0076,2.1778,15784.41,10.0,1.0004,10.0,1.8188
SVD rank 0010 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,18.7226,264380,36.903,1.9358,1.0298,84.8149,1.5361,0.0076,2.1649,22779.67,69.73,70.5021,69.73,69.2769
SVD rank 0012 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,12,False,0.0,314354,31.0364,1.9879,1.2202,83.9951,1.5865,0.009,2.1182,14786.51,10.0,1.0,10.0,1.8182
SVD rank 0012 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,12,True,18.8335,314354,31.0364,1.9879,1.2204,85.1958,1.5504,0.009,2.1168,21593.9,72.01,74.1866,72.01,71.9855
SVD rank 0015 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,15,False,0.0,389315,25.0605,1.9233,1.5062,84.2817,1.5439,0.0111,2.1008,15852.81,10.0,1.0,10.0,1.8182
SVD rank 0015 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,15,True,18.7929,389315,25.0605,1.9233,1.5064,85.769,1.5374,0.0111,2.1135,22786.82,72.89,73.7047,72.89,72.2138
SVD rank 0018 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464276,21.0143,2.0725,1.7921,84.5669,1.5973,0.0132,2.2221,16797.36,10.04,11.0004,10.04,1.8985
SVD rank 0018 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,True,18.9388,464276,21.0143,2.0725,1.7923,86.3394,1.5189,0.0132,2.0759,21669.52,74.53,76.9838,74.53,74.1355
SVD rank 0020 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,20,False,0.0,514068,18.9789,1.9833,1.9821,84.7568,1.5832,0.0144,2.1527,16209.39,10.0,1.0,10.0,1.8182
SVD rank 0020 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,20,True,18.7947,514068,18.9789,1.9833,1.9823,86.7192,1.5651,0.0144,2.1214,21523.51,77.39,79.7164,77.39,77.5043
SVD rank 0023 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,23,False,0.0,588756,16.5713,2.0262,2.267,85.042,1.5837,0.0162,2.1521,16908.63,10.84,30.3032,10.84,3.3891
SVD rank 0023 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,23,True,18.9706,588756,16.5713,2.0262,2.2672,87.2896,1.5165,0.0162,2.1419,22730.93,82.3,82.8954,82.3,82.3457
