experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,4.7178,356.41,92.79,92.7973,92.79,92.784
CP rank 02 | no_ft,CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,548784,17.7783,5.014,0.0016,2.7126,1504.55,10.0,1.0,10.0,1.8182
CP rank 02 | ft [fine_tuned],CP,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,True,fine_tuned,4,0.0001,74.9465,True,1,0.5,val_accuracy,4,0,2.2542,13.0078,548784,17.7783,5.0791,0.0016,3.1756,1235.95,13.99,4.747,13.99,5.6245
