experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score,reconstruction_error
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.5477,0.1539,2.3153,14815.81,92.14,92.2106,92.14,92.1492,0.0
SVD rank 0002,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,1.8248,0.2511,74.9014,1.4708,0.002,2.0535,16063.19,10.0,1.0,10.0,1.8182,0.92652
SVD rank 0006,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,6,False,0.0,162344,60.0972,1.9201,0.6404,75.2905,1.5422,0.0048,2.2835,16265.4,10.0,1.0,10.0,1.8182,0.788169
SVD rank 0010,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,264380,36.903,1.9914,1.0296,75.6797,1.4535,0.0076,2.1419,16740.76,10.0,1.0004,10.0,1.8188,0.612566
SVD rank 0014,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,14,False,0.0,364328,26.7792,1.8253,1.4109,76.0605,1.4492,0.0104,2.1692,16370.27,10.0,1.0,10.0,1.8182,0.568204
SVD rank 0018,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,18,False,0.0,464276,21.0143,1.8009,1.7921,76.4419,1.5646,0.0132,2.1433,16466.45,10.04,11.0004,10.04,1.8985,0.537568
SVD rank 0022,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,22,False,0.0,563860,17.3029,1.7997,2.172,76.8218,1.4387,0.0156,2.0935,16757.95,10.1,31.001,10.1,2.0189,0.513933
SVD rank 0027,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,27,False,0.0,688340,14.1738,1.7812,2.6469,77.2969,1.5423,0.0186,2.1001,18049.2,19.62,29.6132,19.62,13.0627,0.487215
SVD rank 0033,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,33,False,0.0,837716,11.6465,1.8834,3.2167,77.8667,1.4473,0.0222,2.3138,17282.96,25.56,43.9496,25.56,18.8117,0.459152
SVD rank 0041,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,41,False,0.0,1036884,9.4094,1.8259,3.9765,78.6265,1.4617,0.0271,2.1095,18756.91,38.26,77.458,38.26,35.4736,0.427225
SVD rank 0050,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,50,False,0.0,1260948,7.7374,1.824,4.8312,79.481,1.4396,0.0325,2.9821,20080.04,55.27,79.4298,55.27,56.1738,0.399474
SVD rank 0058,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,58,False,0.0,1460116,6.682,1.8929,5.591,80.2407,1.4435,0.0373,2.6813,19809.11,70.63,82.7134,70.63,71.9385,0.378575
SVD rank 0071,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,71,False,0.0,1783764,5.4696,1.7836,6.8256,81.4756,1.4837,0.0452,2.8162,19041.04,82.05,86.1693,82.05,82.6697,0.349105
SVD rank 0088,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,88,False,0.0,2206996,4.4207,1.8222,8.4401,83.2832,1.5129,0.0555,2.7913,18433.88,86.96,88.188,86.96,87.1205,0.315978
SVD rank 0107,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,107,False,0.0,2677908,3.6433,1.8655,10.2365,90.2788,1.4203,0.0664,2.9671,17905.07,88.89,89.5341,88.89,88.9921,0.284476
SVD rank 0132,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,132,False,0.0,3282708,2.9721,1.8426,12.5436,92.5859,1.4681,0.077,2.9708,16879.28,90.13,90.481,90.13,90.2037,0.253772
SVD rank 0163,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,163,False,0.0,4032660,2.4194,1.8649,15.4044,95.8608,1.4489,0.0901,3.0448,17094.45,91.07,91.2746,91.07,91.1086,0.219578
SVD rank 0200,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,200,False,0.0,4927764,1.9799,1.863,18.819,98.8613,1.4559,0.1058,3.1494,14762.05,91.54,91.6979,91.54,91.5746,0.181805
SVD rank 0251,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,251,False,0.0,6048660,1.613,1.8697,23.0949,103.1372,1.5807,0.1202,3.0934,14158.98,91.82,91.9015,91.82,91.8292,0.145641
SVD rank 0318,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,318,False,0.0,7403668,1.3178,1.8612,28.2638,108.3062,1.543,0.1316,3.2284,13169.9,91.96,92.0366,91.96,91.9695,0.121085
SVD rank 0400,SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,False,0.0,9062036,1.0766,1.9068,34.59,114.6323,1.494,0.1455,3.3953,11557.35,92.11,92.1796,92.11,92.1168,0.093827
Tucker rank 0002,Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,24708,394.8691,4.0219,0.1153,74.7686,1.4769,0.0011,2.3177,20854.82,10.0,1.0,10.0,1.8182,0.934508
Tucker rank 0006,Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,6,False,0.0,57101,170.8626,4.2946,0.2389,74.8911,1.5244,0.0022,2.4857,20112.95,10.0,1.0,10.0,1.8182,0.804538
Tucker rank 0011,Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,11,False,0.0,99879,97.6825,4.4554,0.4021,75.0547,1.4926,0.0037,2.3355,18634.59,10.0,1.0001,10.0,1.8183,0.623562
Tucker rank 0015,Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,15,False,0.0,134699,72.4313,4.7597,0.5349,75.1865,1.5167,0.0051,2.518,17739.86,10.0,1.0,10.0,1.8182,0.588867
Tucker rank 0019,Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,19,False,0.0,171535,56.8772,4.8251,0.6754,75.3286,1.5453,0.0065,2.5274,17407.61,10.01,1.1582,10.01,1.8479,0.563011
Tucker rank 0025,Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,25,False,0.0,230569,42.3146,4.8179,0.9006,75.5518,1.5019,0.009,2.4466,17316.49,12.36,6.5211,12.36,5.224,0.529501
Tucker rank 0031,Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,31,False,0.0,294139,33.1694,5.4406,1.1431,75.7954,1.4896,0.0117,2.4199,17502.44,14.42,5.0746,14.42,6.2478,0.500155
