experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.9428,0.1539,2.3624,14180.35,92.14,92.2106,92.14,92.1492
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,1.8775,0.2511,74.9014,1.4839,0.002,2.0714,16168.27,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,1.7391,60308,161.7766,1.8775,0.2513,83.2583,1.5387,0.002,2.1341,19318.91,10.0,1.0,10.0,1.8182
SVD rank 0010 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,264380,36.903,1.8127,1.0296,83.8047,1.4749,0.0076,2.0902,16559.7,10.0,1.0004,10.0,1.8188
SVD rank 0010 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,1.6253,264380,36.903,1.8127,1.0298,84.8149,1.418,0.0076,2.0853,20503.47,18.14,27.6335,18.14,11.7174
SVD rank 0019 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,19,False,0.0,489172,19.9448,1.8285,1.8871,84.6621,1.4674,0.0138,2.054,18064.56,10.0,1.0,10.0,1.8182
SVD rank 0019 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,19,True,1.5424,489172,19.9448,1.8285,1.8873,86.5298,1.4035,0.0138,2.0276,21793.33,44.37,58.8913,44.37,45.4411
SVD rank 0028 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,28,False,0.0,713236,13.6791,1.8337,2.7419,85.5166,1.5645,0.0192,2.0594,16237.77,18.32,29.4915,18.32,12.7855
SVD rank 0028 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,28,True,1.5658,713236,13.6791,1.8337,2.742,88.2388,1.3827,0.0192,2.0969,19937.12,65.47,71.4344,65.47,64.0935
SVD rank 0043 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,43,False,0.0,1086676,8.9782,1.7698,4.1664,86.9414,1.4451,0.0283,2.0267,17717.62,43.47,77.3098,43.47,41.5778
SVD rank 0043 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,43,True,1.6045,1086676,8.9782,1.7698,4.1666,91.0884,1.403,0.0283,2.07,22599.96,78.43,78.9377,78.43,78.2274
SVD rank 0068 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,False,0.0,1709076,5.7086,1.8384,6.5407,90.1045,1.5087,0.0434,2.7262,19069.82,80.63,85.2362,80.63,81.2736
SVD rank 0068 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,68,True,1.5959,1709076,5.7086,1.8384,6.5408,96.9536,1.5236,0.0434,1.9915,20442.09,87.24,87.3495,87.24,87.1843
