experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,5.1657,326.63,92.79,92.7973,92.79,92.784
TT rank 02 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,553318,17.6326,1.9394,0.0011,14.4031,300.39,10.0,1.0,10.0,1.8182
TT rank 02 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,True,fine_tuned,4,0.0001,177.1208,True,1,0.5,val_accuracy,1,1,2.303318,9.7266,553318,17.6326,1.525,0.0011,14.9759,323.37,9.98,0.9999,9.98,1.8177
TT rank 04 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",4,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,585954,16.6505,1.4408,0.0011,20.7308,287.36,10.0,1.0,10.0,1.8182
TT rank 04 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",4,True,fine_tuned,4,0.0001,262.05,True,1,0.5,val_accuracy,2,1,2.249779,12.7734,585954,16.6505,1.5613,0.0011,19.6973,317.65,13.28,6.1021,13.28,5.8793
TT rank 06 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",6,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,636462,15.3292,1.4296,0.0011,17.067,322.22,10.0,1.0,10.0,1.8182
TT rank 06 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",6,True,fine_tuned,4,0.0001,198.8014,True,1,0.5,val_accuracy,1,1,2.11404,19.0234,636462,15.3292,1.4637,0.0011,22.6747,271.73,19.58,18.965,19.58,14.2502
TT rank 08 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",8,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,704914,13.8406,1.4778,0.0011,20.2582,312.24,10.0,1.0,10.0,1.8182
TT rank 08 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",8,True,fine_tuned,4,0.0001,375.0026,True,1,0.5,val_accuracy,4,0,1.645105,40.6641,704914,13.8406,1.3901,0.0011,23.3781,283.33,40.68,39.9834,40.68,39.8185
TT rank 10 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",10,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,768808,12.6903,1.7736,0.0011,25.4418,295.42,10.0,1.0004,10.0,1.8188
TT rank 10 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",10,True,fine_tuned,4,0.0001,370.5277,True,1,0.5,val_accuracy,4,0,1.2263,58.1641,768808,12.6903,1.4632,0.0011,20.6185,318.56,56.67,56.486,56.67,56.359
