experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,7.8173,215.32,92.79,92.7973,92.79,92.784
TT rank 207 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",207,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,5215795,1.8706,2.0391,0.0011,58.2283,224.98,92.22,92.3026,92.22,92.2398
TT rank 207 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",207,True,fine_tuned,4,0.0001,391.0832,True,1,0.5,val_accuracy,2,1,0.065737,97.9688,5215795,1.8706,1.9615,0.0011,58.4683,222.7,88.28,88.5422,88.28,88.3246
TT rank 236 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",236,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,5857971,1.6655,2.0288,0.0011,66.3663,222.28,92.4,92.4439,92.4,92.4058
TT rank 236 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",236,True,fine_tuned,4,0.0001,261.0101,True,1,0.5,val_accuracy,1,1,0.110556,96.5234,5857971,1.6655,1.8459,0.0011,57.824,221.05,88.1,88.4372,88.1,88.0361
TT rank 269 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",269,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,6537139,1.4925,2.0131,0.0011,70.243,220.16,92.6,92.6315,92.6,92.6035
TT rank 269 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",269,True,fine_tuned,4,0.0001,392.3702,True,1,0.5,val_accuracy,2,1,0.073434,97.5,6537139,1.4925,2.0408,0.0011,72.7434,222.05,88.63,88.9769,88.63,88.6819
TT rank 307 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",307,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,7227827,1.3498,2.0587,0.0011,67.7257,229.19,92.61,92.6321,92.61,92.6094
TT rank 307 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",307,True,fine_tuned,4,0.0001,191.6316,True,1,0.5,val_accuracy,1,1,0.098017,96.9922,7227827,1.3498,1.874,0.0011,57.4541,282.24,87.78,87.8104,87.78,87.7315
TT rank 351 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",351,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,8027571,1.2154,1.5525,0.0011,60.5176,274.82,92.66,92.6791,92.66,92.6582
TT rank 351 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",351,True,fine_tuned,4,0.0001,211.0537,True,1,0.5,val_accuracy,1,1,0.094541,97.1484,8027571,1.2154,1.6034,0.0011,66.218,282.5,87.47,87.5083,87.47,87.3874
TT rank 400 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",400,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,8918195,1.094,1.4139,0.0011,70.148,260.27,92.75,92.7631,92.75,92.7478
TT rank 400 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",400,True,fine_tuned,4,0.0001,200.0159,True,1,0.5,val_accuracy,1,1,0.112658,96.875,8918195,1.094,1.4288,0.0011,68.6018,287.3,87.77,87.9168,87.77,87.7574
