experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.4543,0.1539,2.4954,14594.35,92.14,92.2106,92.14,92.1492
SVD rank 0400 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,False,0.0,9062036,1.0766,1.8288,34.59,123.0952,1.5362,0.1455,3.3081,11550.43,92.11,92.1796,92.11,92.1168
SVD rank 0400 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,True,1.9408,9062036,1.0766,1.8288,34.5902,158.5815,1.5285,0.1455,2.5437,11658.08,92.11,92.1796,92.11,92.1168
Tucker rank 0002 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,24708,394.8691,3.947,0.1153,82.8936,1.4851,0.0011,2.2941,21896.6,10.0,1.0,10.0,1.8182
Tucker rank 0002 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,1.6085,24708,394.8691,3.947,0.1155,82.9927,1.4192,0.0011,2.2232,23498.28,10.0,1.0,10.0,1.8182
Tucker rank 0011 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,11,False,0.0,99879,97.6825,4.2305,0.4021,83.1797,1.4904,0.0037,2.2674,18802.71,10.0,1.0001,10.0,1.8183
Tucker rank 0011 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,11,True,1.658,99879,97.6825,4.2305,0.4022,83.5649,1.46,0.0037,2.2451,20661.75,19.1,19.3807,19.1,13.3157
Tucker rank 0020 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,20,False,0.0,181059,53.8853,4.5723,0.7118,83.4902,1.4993,0.0069,2.3659,18409.18,10.0,1.0007,10.0,1.8193
Tucker rank 0020 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,20,True,1.6509,181059,53.8853,4.5723,0.7119,84.186,1.4555,0.0069,2.4341,22329.64,40.33,50.3611,40.33,37.6706
Tucker rank 0035 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,35,False,0.0,339039,28.7767,4.9906,1.3144,84.8857,1.4836,0.0136,2.3347,16243.52,16.1,33.8348,16.1,6.9537
Tucker rank 0035 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,35,True,1.6105,339039,28.7767,4.9906,1.3146,86.1846,1.4172,0.0136,2.3997,21553.46,67.23,72.2703,67.23,67.1793
Tucker rank 0054 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,54,False,0.0,579845,16.8259,5.456,2.233,85.0117,1.552,0.0246,2.2933,16487.63,54.3,80.6353,54.3,56.2119
Tucker rank 0054 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,54,True,1.6691,579845,16.8259,5.456,2.2332,87.229,1.4284,0.0246,2.3306,20147.36,82.52,83.0015,82.52,82.5457
Tucker rank 0081 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,81,False,0.0,985261,9.9024,6.366,3.7795,90.8604,1.5,0.0399,2.3003,16521.92,82.93,86.255,82.93,83.3781
Tucker rank 0081 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,81,True,1.6344,985261,9.9024,6.366,3.7797,94.623,1.4413,0.0399,2.3266,21566.47,87.0,87.2912,87.0,87.0063
Tucker rank 0118 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,118,False,0.0,1659919,5.8777,7.2329,6.3532,108.3652,1.4833,0.0613,2.3468,16081.95,89.35,89.9179,89.35,89.4207
Tucker rank 0118 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,118,True,1.7772,1659919,5.8777,7.2329,6.3533,114.7021,1.4365,0.0613,2.3403,19774.49,89.35,89.9179,89.35,89.4207
Tucker rank 0181 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,181,False,0.0,3018428,3.2323,8.6376,11.5355,118.8433,1.5368,0.0917,2.3645,15279.43,91.27,91.4565,91.27,91.3024
Tucker rank 0181 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,181,True,1.8412,3018428,3.2323,8.6376,11.5356,131.6108,1.4842,0.0917,2.3105,16930.19,91.27,91.4565,91.27,91.3024
Tucker rank 0259 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,259,False,0.0,5144426,1.8965,10.6151,19.6455,126.998,1.5298,0.1351,2.6828,13023.59,91.84,91.9509,91.84,91.861
Tucker rank 0259 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,259,True,1.9691,5144426,1.8965,10.6151,19.6457,147.0283,1.5537,0.1351,2.3098,13395.06,91.84,91.9509,91.84,91.861
Tucker rank 0400 [compressed],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,False,0.0,8772215,1.1122,13.9839,33.4844,142.4141,1.5838,0.1652,3.0262,10937.21,92.21,92.2927,92.21,92.2217
Tucker rank 0400 [fine_tuned],Tucker,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,True,2.1812,8772215,1.1122,13.9839,33.4846,176.9839,1.6365,0.1652,2.3977,11062.53,92.21,92.2927,92.21,92.2217
TT rank 0002 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,29050,335.8494,1.77,0.1319,99.2173,1.6071,0.0006,5.6849,11546.66,10.0,1.0,10.0,1.8182
TT rank 0002 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,1.7361,29050,335.8494,1.77,0.1324,99.3374,1.6551,0.0006,4.7885,11631.67,10.0,1.0,10.0,1.8182
TT rank 0009 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,9,False,0.0,239591,40.7212,1.8012,0.935,100.0181,1.5437,0.0006,5.7782,11226.04,10.0,1.0,10.0,1.8182
TT rank 0009 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,9,True,1.7373,239591,40.7212,1.8012,0.9355,100.939,1.5987,0.0006,5.1106,11375.65,19.23,12.8901,19.23,11.3891
TT rank 0017 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,17,False,0.0,440009,22.1732,1.8789,1.6996,100.7827,1.7015,0.0006,5.6856,11231.52,11.67,6.5752,11.67,4.4875
TT rank 0017 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,17,True,1.7894,440009,22.1732,1.8789,1.7001,102.4683,1.5243,0.0006,5.0883,11065.72,46.17,56.5026,46.17,45.1798
TT rank 0026 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,26,False,0.0,664892,14.6737,1.7741,2.5574,101.6401,1.6505,0.0006,5.7771,10915.31,16.98,31.5069,16.98,11.1971
TT rank 0026 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,26,True,1.7573,664892,14.6737,1.7741,2.5579,104.1831,1.5698,0.0006,5.1979,11080.47,58.18,64.6063,58.18,56.5676
TT rank 0042 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,42,False,0.0,1063319,9.1754,1.8561,4.0773,103.1602,1.6087,0.0006,5.9724,11008.97,41.61,77.5653,41.61,39.3378
TT rank 0042 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,42,True,1.769,1063319,9.1754,1.8561,4.0778,107.2231,1.5935,0.0006,5.1791,11082.02,65.45,71.6181,65.45,65.523
TT rank 0064 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,False,0.0,1611031,6.056,1.9249,6.1667,106.2495,1.6534,0.0006,6.0983,11374.85,78.07,84.9114,78.07,79.135
TT rank 0064 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,64,True,1.8571,1611031,6.056,1.9249,6.1672,112.4019,1.6255,0.0006,5.2191,10927.98,81.86,82.251,81.86,81.6729
TT rank 0102 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,102,False,0.0,2557079,3.8155,1.8143,9.7756,109.3545,1.6538,0.0006,5.8249,10874.39,88.59,89.3017,88.59,88.7116
TT rank 0102 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,102,True,1.9939,2557079,3.8155,1.8143,9.7761,119.4087,1.6513,0.0006,5.419,10764.23,88.59,89.3017,88.59,88.7116
TT rank 0155 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,155,False,0.0,3857559,2.5292,1.8406,14.7365,114.7959,1.5966,0.0006,6.0299,10672.43,91.01,91.2363,91.01,91.054
TT rank 0155 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,155,True,1.9842,3857559,2.5292,1.8406,14.737,129.7827,1.6791,0.0006,5.6548,10707.81,91.01,91.2363,91.01,91.054
TT rank 0249 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,249,False,0.0,6131607,1.5912,1.865,23.4113,123.021,1.6755,0.0006,6.6237,10304.34,91.93,92.02,91.93,91.9445
TT rank 0249 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,249,True,2.0387,6131607,1.5912,1.865,23.4118,146.7871,1.7666,0.0006,6.1233,10752.05,91.93,92.02,91.93,91.9445
TT rank 0400 [compressed],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,False,0.0,9213207,1.059,1.9172,35.1667,135.2339,1.6497,0.0006,7.0208,9731.99,92.14,92.2151,92.14,92.1496
TT rank 0400 [fine_tuned],TT,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,400,True,2.1018,9213207,1.059,1.9172,35.1672,171.3237,1.6966,0.0006,6.815,9706.23,92.14,92.2151,92.14,92.1496
CP rank 0002 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,24516,397.9616,7.0783,0.1146,82.8975,1.4404,0.0011,2.518,21833.05,10.0,1.0,10.0,1.8182
CP rank 0002 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,1.6398,24516,397.9616,7.0783,0.1148,83.0005,1.4542,0.0011,2.5312,21945.69,10.0,1.0,10.0,1.8182
CP rank 0011 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,11,False,0.0,92511,105.4623,10.0092,0.374,83.1553,1.482,0.0031,2.487,19464.09,10.0,1.0,10.0,1.8182
CP rank 0011 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,11,True,1.6167,92511,105.4623,10.0092,0.3741,83.5161,1.4445,0.0031,2.4759,19871.67,10.0,1.0001,10.0,1.8183
CP rank 0022 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,22,False,0.0,170512,57.2184,10.5977,0.6715,83.4502,1.5519,0.0055,2.5043,16724.86,10.0,1.0,10.0,1.8182
CP rank 0022 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,22,True,1.583,170512,57.2184,10.5977,0.6717,84.106,1.4578,0.0055,2.4822,21191.2,14.24,12.3351,14.24,7.276
CP rank 0038 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,38,False,0.0,282873,34.4905,12.6663,1.1001,83.8765,1.5548,0.008,2.476,17231.83,10.0,1.0,10.0,1.8182
CP rank 0038 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,38,True,1.7547,282873,34.4905,12.6663,1.1003,84.9585,1.4843,0.008,2.5195,20178.05,11.77,5.3521,11.77,5.7356
CP rank 0070 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,70,False,0.0,507449,19.2264,14.1175,1.9568,84.7349,1.5009,0.0127,2.5248,16219.25,45.73,78.2839,45.73,43.9665
CP rank 0070 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,70,True,1.6768,507449,19.2264,14.1175,1.957,86.6753,1.4945,0.0127,2.474,18280.73,58.22,65.2731,58.22,58.3255
CP rank 0120 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,120,False,0.0,858349,11.3665,16.1531,3.2954,86.0723,1.5307,0.0201,2.4938,15494.61,77.71,83.0571,77.71,77.9499
CP rank 0120 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,120,True,1.5874,858349,11.3665,16.1531,3.2956,89.3501,1.4192,0.0201,2.4482,20719.32,79.15,80.4533,79.15,78.9909
CP rank 0216 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,216,False,0.0,1532077,6.3681,21.3677,5.8655,88.6475,1.5223,0.0343,2.483,13203.86,88.29,89.1787,88.29,88.3935
CP rank 0216 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,216,True,1.8493,1532077,6.3681,21.3677,5.8657,94.5034,1.5424,0.0343,2.6155,15865.1,88.29,89.1787,88.29,88.3935
CP rank 0366 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,366,False,0.0,2584777,3.7746,32.7608,9.8812,128.6641,1.5647,0.0565,2.5081,10192.87,90.89,91.2075,90.89,90.9348
CP rank 0366 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,366,True,1.8998,2584777,3.7746,32.7608,9.8814,138.5293,1.5273,0.0565,2.4711,11411.57,90.89,91.2075,90.89,90.9348
CP rank 0732 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,732,False,0.0,4631525,2.1065,77.5793,17.6889,137.8413,1.6575,0.0919,2.5868,7124.71,91.84,91.9693,91.84,91.8645
CP rank 0732 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,732,True,2.2224,4631525,2.1065,77.5793,17.6891,156.001,1.6203,0.0919,2.5519,7546.07,91.84,91.9693,91.84,91.8645
CP rank 1500 [compressed],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,1500,False,0.0,7818745,1.2478,226.8248,29.8472,150.6157,2.0944,0.1345,2.647,5254.56,92.08,92.1513,92.08,92.0904
CP rank 1500 [fine_tuned],CP,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,1500,True,2.5787,7818745,1.2478,226.8248,29.8474,182.6494,2.0373,0.1345,2.5063,5402.2,92.08,92.1513,92.08,92.0904
